lat,lon,NO2,,,,,,
43.15,0.25,23.508.973,,,,,,
43.15,0.35,24.347.556,,,,,,
43.15,0.45,27.371.342,,,,,,
43.15,0.55,27.282.028,,,,,,
43.15,0.65,27.562.904,,,,,,
43.15,0.75,37.026.126,,,,,,
43.15,0.85,33.058.171,,,,,,
43.15,0.95,31.411.061,,,,,,
43.15,1.05,291.882,,,,,,
43.15,1.15,25.983.653,,,,,,
43.15,1.25,227.612,,,,,,
43.15,1.35,20.837.688,,,,,,
43.15,1.45,19.340.788,,,,,,
43.15,1.55,19.642.769,,,,,,
43.15,1.65,206.592,,,,,,
43.15,1.75,18.519.969,,,,,,
43.15,1.85,16.368.233,,,,,,
43.15,1.95,14.713.805,,,,,,
43.15,2.05,14.071.048,,,,,,
43.15,2.15,14.233.052,,,,,,
43.15,2.25,14.623.709,,,,,,
43.15,2.35,16.426.071,,,,,,
43.15,2.45,17.645.078,,,,,,
43.15,2.55,17.779.015,,,,,,
43.15,2.65,18.850.017,,,,,,
43.15,2.75,1.976.143,,,,,,
43.15,2.85,20.198.271,,,,,,
43.15,2.95,2.175.379,,,,,,
43.15,3.05,22.197.454,,,,,,
43.05,0.25,10.452.112,,,,,,
43.05,0.35,14.380.276,,,,,,
43.05,0.45,14.522.669,,,,,,
43.05,0.55,17.171.644,,,,,,
43.05,0.65,19.930.184,,,,,,
43.05,0.75,16.365.817,,,,,,
43.05,0.85,15.881.369,,,,,,
43.05,0.95,16.659.982,,,,,,
43.05,1.05,16.231.737,,,,,,
43.05,1.15,17.941.233,,,,,,
43.05,1.25,1.772.544,,,,,,
43.05,1.35,15.998.324,,,,,,
43.05,1.45,1.354.958,,,,,,
43.05,1.55,13.816.177,,,,,,
43.05,1.65,14.030.405,,,,,,
43.05,1.75,12.898.439,,,,,,
43.05,1.85,13.451.171,,,,,,
43.05,1.95,12.895.882,,,,,,
43.05,2.05,11.841.223,,,,,,
43.05,2.15,12.563.845,,,,,,
43.05,2.25,13.506.948,,,,,,
43.05,2.35,11.014.577,,,,,,
43.05,2.45,0.9139171,,,,,,
43.05,2.55,10.415.448,,,,,,
43.05,2.65,0.9700642,,,,,,
43.05,2.75,11.646.463,,,,,,
43.05,2.85,15.047.902,,,,,,
43.05,2.95,19.179.282,,,,,,
43.05,3.05,21.340.044,,,,,,
42.95,0.25,0.81851965,,,,,,
42.95,0.35,0.93311596,,,,,,
42.95,0.45,0.74857384,,,,,,
42.95,0.55,11.340.574,,,,,,
42.95,0.65,14.664.919,,,,,,
42.95,0.75,0.96358407,,,,,,
42.95,0.85,0.8544802,,,,,,
42.95,0.95,0.837079,,,,,,
42.95,1.05,0.9152103,,,,,,
42.95,1.15,0.92780113,,,,,,
42.95,1.25,0.87431145,,,,,,
42.95,1.35,0.82865196,,,,,,
42.95,1.45,0.688604,,,,,,
42.95,1.55,0.7420937,,,,,,
42.95,1.65,0.84671396,,,,,,
42.95,1.75,0.862957,,,,,,
42.95,1.85,0.8179938,,,,,,
42.95,1.95,0.7805127,,,,,,
42.95,2.05,0.8179938,,,,,,
42.95,2.15,0.9302099,,,,,,
42.95,2.25,0.95755863,,,,,,
42.95,2.35,0.8852894,,,,,,
42.95,2.45,0.8147467,,,,,,
42.95,2.55,0.8628362,,,,,,
42.95,2.65,0.87357247,,,,,,
42.95,2.75,0.87971157,,,,,,
42.95,2.85,11.741.108,,,,,,
42.95,2.95,13.146.845,,,,,,
42.95,3.05,14.764.893,,,,,,
42.85,0.25,0.51476264,,,,,,
42.85,0.35,0.56527513,,,,,,
42.85,0.45,0.6132367,,,,,,
42.85,0.55,0.6762264,,,,,,
42.85,0.65,0.7524818,,,,,,
42.85,0.75,0.69980925,,,,,,
42.85,0.85,0.36906582,,,,,,
42.85,0.95,0.40703723,,,,,,
42.85,1.05,0.60616684,,,,,,
42.85,1.15,0.6017828,,,,,,
42.85,1.25,0.8434313,,,,,,
42.85,1.35,0.55330247,,,,,,
42.85,1.45,0.42622188,,,,,,
42.85,1.55,0.60446155,,,,,,
42.85,1.65,0.7216016,,,,,,
42.85,1.75,0.60496604,,,,,,
42.85,1.85,0.59415865,,,,,,
42.85,1.95,0.5469289,,,,,,
42.85,2.05,0.50445974,,,,,,
42.85,2.15,0.5442146,,,,,,
42.85,2.25,0.619859,,,,,,
42.85,2.35,0.7497178,,,,,,
42.85,2.45,0.74271184,,,,,,
42.85,2.55,11.018.131,,,,,,
42.85,2.65,10.360.168,,,,,,
42.85,2.75,0.8294975,,,,,,
42.85,2.85,0.93774873,,,,,,
42.85,2.95,11.665.435,,,,,,
42.85,3.05,12.091.831,,,,,,
42.75,0.25,0.4056517,,,,,,
42.75,0.35,0.424005,,,,,,
42.75,0.45,0.4496769,,,,,,
42.75,0.55,0.57474667,,,,,,
42.75,0.65,0.6743505,,,,,,
42.75,0.75,0.5074014,,,,,,
42.75,0.85,0.2886537,,,,,,
42.75,0.95,0.2553719,,,,,,
42.75,1.05,0.34916353,,,,,,
42.75,1.15,0.46586308,,,,,,
42.75,1.25,0.43607002,,,,,,
42.75,1.35,0.39856756,,,,,,
42.75,1.45,0.37931186,,,,,,
42.75,1.55,0.5940734,,,,,,
42.75,1.65,0.60711896,,,,,,
42.75,1.75,0.7215164,,,,,,
42.75,1.85,0.55693334,,,,,,
42.75,1.95,0.3360327,,,,,,
42.75,2.05,0.3484459,,,,,,
42.75,2.15,0.39856046,,,,,,
42.75,2.25,0.43156517,,,,,,
42.75,2.35,0.5144784,,,,,,
42.75,2.45,0.65319765,,,,,,
42.75,2.55,0.7993563,,,,,,
42.75,2.65,10.174.716,,,,,,
42.75,2.75,12.129.349,,,,,,
42.75,2.85,1.465.142,,,,,,
42.75,2.95,141.669,,,,,,
42.75,3.05,1.059.685,,,,,,
42.65,0.25,0.36893794,,,,,,
42.65,0.35,0.35376784,,,,,,
42.65,0.45,0.36185384,,,,,,
42.65,0.55,0.4886573,,,,,,
42.65,0.65,0.45853737,,,,,,
42.65,0.75,0.37664732,,,,,,
42.65,0.85,0.24940333,,,,,,
42.65,0.95,0.2472717,,,,,,
42.65,1.05,0.31451747,,,,,,
42.65,1.15,0.40376163,,,,,,
42.65,1.25,0.33451214,,,,,,
42.65,1.35,0.27202702,,,,,,
42.65,1.45,0.26825404,,,,,,
42.65,1.55,0.30130848,,,,,,
42.65,1.65,0.3480835,,,,,,
42.65,1.75,0.3601343,,,,,,
42.65,1.85,0.37043008,,,,,,
42.65,1.95,0.37759236,,,,,,
42.65,2.05,0.3683553,,,,,,
42.65,2.15,0.41908804,,,,,,
42.65,2.25,0.47355825,,,,,,
42.65,2.35,0.5388358,,,,,,
42.65,2.45,0.7974023,,,,,,
42.65,2.55,0.920447,,,,,,
42.65,2.65,0.98586667,,,,,,
42.65,2.75,14.438.825,,,,,,
42.65,2.85,19.673.251,,,,,,
42.65,2.95,16.497.481,,,,,,
42.65,3.05,12.301.015,,,,,,
42.55,0.25,0.40029418,,,,,,
42.55,0.35,0.3906095,,,,,,
42.55,0.45,0.4223139,,,,,,
42.55,0.55,0.45560282,,,,,,
42.55,0.65,0.45841658,,,,,,
42.55,0.75,0.32474217,,,,,,
42.55,0.85,0.26628584,,,,,,
42.55,0.95,0.2598341,,,,,,
42.55,1.05,0.346229,,,,,,
42.55,1.15,0.52814925,,,,,,
42.55,1.25,0.36684895,,,,,,
42.55,1.35,0.24054286,,,,,,
42.55,1.45,0.25052598,,,,,,
42.55,1.55,0.2720128,,,,,,
42.55,1.65,0.25492424,,,,,,
42.55,1.75,0.29352802,,,,,,
42.55,1.85,0.3703306,,,,,,
42.55,1.95,0.4681297,,,,,,
42.55,2.05,0.43520316,,,,,,
42.55,2.15,0.49869725,,,,,,
42.55,2.25,0.5187772,,,,,,
42.55,2.35,0.6847884,,,,,,
42.55,2.45,0.7095082,,,,,,
42.55,2.55,0.7016993,,,,,,
42.55,2.65,0.84144175,,,,,,
42.55,2.75,15.289.558,,,,,,
42.55,2.85,31.627.848,,,,,,
42.55,2.95,29.079.275,,,,,,
42.55,3.05,19.056.572,,,,,,
42.45,0.25,0.47124898,,,,,,
42.45,0.35,0.44498733,,,,,,
42.45,0.45,0.4804079,,,,,,
42.45,0.55,0.5223512,,,,,,
42.45,0.65,0.5165674,,,,,,
42.45,0.75,0.5324836,,,,,,
42.45,0.85,0.38333353,,,,,,
42.45,0.95,0.3487159,,,,,,
42.45,1.05,0.43021515,,,,,,
42.45,1.15,0.6238736,,,,,,
42.45,1.25,0.4727127,,,,,,
42.45,1.35,0.5564004,,,,,,
42.45,1.45,0.575244,,,,,,
42.45,1.55,0.4484903,,,,,,
42.45,1.65,0.851233,,,,,,
42.45,1.75,0.6771501,,,,,,
42.45,1.85,0.67206967,,,,,,
42.45,1.95,12.555.603,,,,,,
42.45,2.05,0.83498293,,,,,,
42.45,2.15,0.4927145,,,,,,
42.45,2.25,0.47513565,,,,,,
42.45,2.35,0.49076048,,,,,,
42.45,2.45,0.62081826,,,,,,
42.45,2.55,0.72663224,,,,,,
42.45,2.65,0.73106605,,,,,,
42.45,2.75,11.421.008,,,,,,
42.45,2.85,25.327.182,,,,,,
42.45,2.95,19.317.625,,,,,,
42.45,3.05,19.197.614,,,,,,
42.35,0.25,0.6908138,,,,,,
42.35,0.35,0.5547022,,,,,,
42.35,0.45,0.5475613,,,,,,
42.35,0.55,0.52787215,,,,,,
42.35,0.65,0.5572389,,,,,,
42.35,0.75,0.6693838,,,,,,
42.35,0.85,0.496928,,,,,,
42.35,0.95,0.45169485,,,,,,
42.35,1.05,0.66654164,,,,,,
42.35,1.15,0.64700884,,,,,,
42.35,1.25,0.7498883,,,,,,
42.35,1.35,0.6636213,,,,,,
42.35,1.45,10.782.657,,,,,,
42.35,1.55,10.475.347,,,,,,
42.35,1.65,13.572.674,,,,,,
42.35,1.75,18.892.009,,,,,,
42.35,1.85,2.392.585,,,,,,
42.35,1.95,20.874.567,,,,,,
42.35,2.05,12.838.897,,,,,,
42.35,2.15,0.7912206,,,,,,
42.35,2.25,0.6827776,,,,,,
